Company,Contact Name,Title,Department,Direct Phone,Mobile Phone,Corporate Phone,Email,City,State,PostalCode,LastVerifiedDate,ConfidenceScore
No Company Match,,,,,,,,,Ruff Manufacturing Inc		21105 Edmonton Ave	Farmington	MN	55024	651-463-1028		5 to 9	10,,,
No Company Match,,,,,,,,,RUFFRIDGE JOHNSON EQUIPMENT		7055 21ST AVE	CENTERVILLE	MN	55038	612-378-9558				3331	Agriculture,,,
,,,,,,,,,Rush Enterprises		1644 Market DR SE	ATLANTA	GA	30316	(404) 212-5900				8111	Automotive Repair and Maintenance	Yes	No	No	Chris Falcone	201,,,
,,,,,,,,,Rustoleum		10301 Xylon Ave North,,,
,,,,,,,,,RWBT Inc		590 Taylor St	Augusta	GA	30901	706-790-0047				4842	Specialized Freight Trucking	Yes	No	Yes	Jason Lynn	219,,,
,,,,,,,,,S A RECYCLING		960 MOLLY POND RD	AUGUSTA	GA	30901	404-403-0060						Yes	No	No	Jason Lynn	219,,,
No Company Match,,,,,,,,,S A White Fax		590 Atlanta St Se	Marietta	GA	30060	770-424-9255		10 to 19	20,,,
,,,,,,,,,SA RECYCLING		859 ATHENS ST	GAINESVILLE	GA	30501					4239	Miscellaneous Durable Goods Merchant Wholesalers	Yes	No	No	Michael Joseph	258,,,
,,,,,,,,,SA RECYCLING		1359 CENTRAL AVE	EAST POINT	GA	30344					4239	Miscellaneous Durable Goods Merchant Wholesalers	Yes	No	No	Ryan Burns	0037K,,,
,,,,,,,,,SA Recycling		980 W 19th St	Chattanooga	TN	37408	(423) 756-6070						Yes	No	No	Banton Price	475,,,
,,,,,,,,,SA Recycling		598 Wells Street SW	ATLANTA	GA	30312	(404) 525-1464				4239	Miscellaneous Durable Goods Merchant Wholesalers	Yes	No	No	Ryan Burns	0037K,,,
,,,,,,,,,SA RECYCLING		4614 NEW CALHOUN HWY NE	ROME	GA	30161							Yes	No	No	Mason Ramsey	71,,,
,,,,,,,,,SA RECYCLING		309 STATE DOCKS RD	PHENIX CITY	AL	36869							Yes	No	No	Matthew Sprouse	256,,,
,,,,,,,,,SA Recyling		857 Garlington Ave	Waycross	GA	31501	(912) 285-2267						Yes	No	No	Brandi Collins	220,,,
,,,,,,,,,SAB CHANGEHOUSE		12555 CLARK RD	ROSEMOUNT	MN	55068					3241	Petroleum and Coal Products Manufacturing	Yes	No	Yes	Timothy Litwin	754,,,
,,,,,,,,,SAB/NAB		12555 CLARK RD	ROSEMOUNT	MN	55068					3241	Petroleum and Coal Products Manufacturing	Yes	No	Yes	Timothy Litwin	754,,,
,,,,,,,,,Sackett Waconia	CMAM	33 8th St E	Waconia	MN	55387	952-442-4450		100 to 249				Yes	No	No	Ashley Douglas	470,,,
,,,,,,,,,Sackett Waconia	CMAM	680 TACOMA BLVD	Norwood Young America	MN	55368	(952) 442-4450						Yes	No	No	Ashley Douglas	470,,,
,,,,,,,,,Safety Kleen		1537 1st Ave S	Fargo	ND	58103	(701) 866-6624						Yes	No	No	Gavin Baumgartner	0034K,,,
,,,,,,,,,SAGE ELECTROCHROMICS INC		1 SAGE WAY	FARIBAULT	MN	55021	507-331-4917				3272	Glass and Glass Product Manufacturing	Yes	No	Yes	Isaac Hennen	754,,,
,,,,,,,,,Saint Paul Admin (Electric shop)		691 N Robert St	Saint Paul	MN	55155	(651) 201-2317						Yes	No	No	Christian Karalunas	0021M,,,
,,,,,,,,,Saint paul admin (grounds)		603 N pine st	Saint Paul	MN	55107	(651) 785-5960						Yes	No	No	Christian Karalunas	0021M,,,
,,,,,,,,,Saint Paul Admin (Machine Shop)		691 N. Robert St	Saint Paul	MN	55155	(651) 201-2317						Yes	No	No	Christian Karalunas	0021M,,,
,,,,,,,,,Saint Paul Admin (Pipe Shop)		691 N. Robert St	Saint Paul	MN	55155	(651) 201-2317						Yes	No	No	Christian Karalunas	0021M,,,
Supercenters,,,,,,,,,Sales & Marketing		6200 Us Highway 12	Eau Claire	WI	54701	715-834-1439		1 to 4	2,,,
000+	3116	Animal Slaughtering and Processing	Yes	No	No	Tim Long	438,,,,,,,,,Sanderson Farms		700 Ga Highway 133 S	Moultrie	GA	31788	229-891-4061		1,,,
No Company Match,,,,,,,,,Sanderson Farms		3140 Jm Dr	Adel	GA	31620	229-896-1212		20 to 49	40,,,
,,,,,,,,,Sanimax Usa Inc	FRC	505 Hardman Ave S	South St Paul	MN	55075	888-726-4629		50 to 99	100,,,
and Paperboard Mills	Yes	No	No	Bradley Beranek	0045M,,,,,,,,,Sappi Fine Paper North America	CMAM	2201 Avenue B	Cloquet	MN	55720	218-879-2300		500 to 999	100,,,
,,,,,,,,,Saputo Cheese Usa Inc		1052 6th St	Almena	WI	54805	715-357-3775		250 to 499	100,,,
,,,,,,,,,Saputo Dairy Foods Usa		4041 Highway 61 N	St Paul	MN	55110	651-426-1633		100 to 249	100,,,
No Company Match,,,,,,,,,Sasco Chemical Group Llc	FRC	827 Pine Ave	Albany	GA	31701	229-435-8394		20 to 49	40,,,
No Company Match,,,,,,,,,Schwieters Chevrolet-Cold Spg	CMAM	1050 Minnesota 23	Cold Spring	MN	56320	320-348-0085		20 to 49	20,,,
,,,,,,,,,SCOTT'S COMPANY		22447 HIGHVIEW AVE	LAKEVILLE	MN	55044	612-704-4390						Yes	No	No	Isaac Hennen	754,,,
,,,,,,,,,Scott'S Hyponex Corp		2057 Highway 42 N	Jackson	GA	30233	770-775-5996		100 to 249	100,,,
,,,,,,,,,Sealy Mattress Corp	FRC	1705 Rockdale Industrial Blvd	Conyers	GA	30012	770-483-3810		100 to 249	100,,,
No Company Match,,,,,,,,,Sensoryeffects Powder Systems	FRC	301 Main St W	Sleepy Eye	MN	56085	507-794-7971		20 to 49	40,,,
,,,,,,,,,Sese'		6153 Hickory Valley Road	CHATTANOOGA	TN	37424	(206) 769-1012						Yes	No	No	Banton Price	475,,,
,,,,,,,,,SHAKOPEE ENERGY PARK		3030 VIERLING DR	SHAKOPEE	MN	55379	979-224-2358						Yes	No	No	Isaac Hennen	0002K,,,
,,,,,,,,,SHEARERS	FRC	800 4TH ST NW	PERHAM	MN	56573					3119	Other Food Manufacturing	Yes	No	Yes	Jonathan Franklin	0034K,,,
,,,,,,,,,SHERWIN WILLIAMS		725 RACO DR	LAWRENCEVILLE	GA	30045	770-682-7500				4239	Miscellaneous Durable Goods Merchant Wholesalers	Yes	No	No	Joseph Paglia	258,,,
No Company Match,,,,,,,,,SHERWIN WILLIAMS		6795 JONESBORO RD	MORROW	GA	30260	770-961-7780				3256	Soap,,,
,,,,,,,,,SHERWIN WILLIAMS		920 MAIN AVE	FARGO	ND	58103					4246	Chemical and Allied Products Merchant Wholesalers	Yes	No	No	Gavin Baumgartner	0034K,,,
,,,,,,,,,SHERWIN WILLIAMS		1406 TRAE LN	LITHIA SPRINGS	GA	30122					4441	Building Material and Supplies Dealers	Yes	No	No	Taylor Piatt	0037K,,,
,,,,,,,,,Sherwin-Williams Co Dist Ofc	FRC	930 Sherwin Pkwy	Buford	GA	30518	770-945-0850		100 to 249	100,,,
No Company Match,,,,,,,,,Sherwin-Williams Prod Finishes	FRC	7697 Washington Ave S	Edina	MN	55439	952-941-6070		10 to 19	20,,,
,,,,,,,,,SHRED IT		1680 EXECUTIVE DR	DULUTH	GA	30096	770-220-2740				4232	Furniture and Home Furnishing Merchant Wholesalers	Yes	No	No	Michael Joseph	258,,,
No Company Match,,,,,,,,,Shumate Mechanical Htg & Air	CMAM	2805 Premiere Pkwy	Duluth	GA	30097	678) 748-6283		250 to 499	5,,,
,,,,,,,,,Sierra Pacific		300 Colin Powell Parkway	Phenix City	AL	36869	(530) 355-9761						Yes	No	No	Matthew Sprouse	256,,,
,,,,,,,,,Sierra Sheet & Plate		15160 Prater Dr	Covington	GA	30014	6786607055						Yes	No	No	Heather Forbes	201,,,
,,,,,,,,,SIKA US		4019 INDUSTRY DR	CHATTANOOGA	TN	37416							Yes	No	No	Banton Price	475,,,
,,,,,,,,,Silver Spring Foods Inc	FRC; CMAM	2424 Alpine Rd	Eau Claire	WI	54703	715-832-9739		100 to 249	100,,,
No Company Match,,,,,,,,,Silver Tip Propane		175 Us Highway 87 N	Roundup	MT	59072	406-323-1606		1 to 4	2,,,
No Company Match,,,,,,,,,Silvertip Propane		2 Noble Ln	Columbus	MT	59019	406-322-4739		5 to 9	5,,,
No Company Match,,,,,,,,,Silvertip Propane		320 N 11th St	Billings	MT	59101	406-237-1122		5 to 9	5,,,
No Company Match,,,,,,,,,Silvertip Propane		5 Travertine Ln	Livingston	MT	59047	406-222-4806		1 to 4	2,,,
,,,,,,,,,SitePro		5323 Goshen Springs Rd	NORCROSS	GA	30071	(404) 454-3086						Yes	No	No	Joseph Paglia	258,,,
,,,,,,,,,SK Foods		440 Innovation Dr SW	Mc Donald	TN	37353	(404) 640-1384						Yes	No	No	Scarlet Perez	475,,,
,,,,,,,,,Skb Environmental		13425 Court House Blvd	Rosemount	MN	55068	651-438-1500		20 to 49	100,,,
,,,,,,,,,SMITH EQUIPMENT CONSOLD		N 102 1ST ST	KNAPP	WI	54749	715-665-2000						Yes	No	No	Tyler Lee	0016K,,,
,,,,,,,,,SMITHCO WEST INC-OFFICE		PO BOX 487	CAMERON	WI	54822	715-458-4192						Yes	No	No	Tyler Lee	0016K,,,
,,,,,,,,,SOLAR PLASTICS		860 JOHNSON DR	DELANO	MN	55328							Yes	No	No	Peter Andrews	470,,,
,,,,,,,,,SOLVAY		577 BANKHEAD HWY	WINDER	GA	30680	770) 867-2100				4246	Chemical and Allied Products Merchant Wholesalers	Yes	No	No	Brett Johns	258,,,
and Artificial and Synthetic Fibers and Filaments Manufacturing	Yes	No	No	Joshua Bagley	0008M,,,,,,,,,Solvay Specialty Polymers Llc	GAM; FRC; EGAM	4500 Mcginnis Ferry Rd	Alpharetta	GA	30005	770-772-8200		100 to 249	100,,,
and Artificial and Synthetic Fibers and Filaments Manufacturing	Yes	No	No	Oscar Jessup	219,,,,,,,,,Solvayspecialty Polymers	FRC	3702 Clanton Rd	Augusta	GA	30906	706-771-4879		100 to 249	100,,,
,,,,,,,,,Sonoco Products Co		4858 Old Dixie Hwy	Forest Park	GA	30297	404-279-6420		50 to 99	100,,,
,,,,,,,,,Sonstegard Foods Of Georgia	FRC	2079 Memorial Park Dr	Gainesville	GA	30504	770-534-5644		50 to 99	100,,,
,,,,,,,,,South Eastern Consulting		607 Industrial Blvd	Warrenton	GA	30828	(678) 925-9246						Yes	No	No	Oscar Jessup	219,,,
,,,,,,,,,SOUTHEAST CONNECTIONS	KAM	101 BOGGS RD	VILLA RICA	GA	30180	770-745-0240						Yes	No	No	Taylor Piatt	0037K,,,
Scientific,,,,,,,,,Southeast Connections		2847 Calhoun Ave	Chattanooga	TN	37407	423-622-5078		50 to 99	1,,,
No Company Match,,,,,,,,,Southeast Connections Llc	GAM; KAM; EGAM	2720 Dogwood Dr Se	Conyers	GA	30013	404-659-1422		50 to 99	40,,,
No Company Match,,,,,,,,,Southern Gunite		1096 Industrial Blvd	Gainesville	GA	30501	470-252-5441		1 to 4	1,,,
,,,,,,,,,Southern Rewinding Indl Sales	GAM; KAM; EGAM	5277 Chumar Dr	Columbus	GA	31904	706-317-5545		50 to 99	100,,,
No Company Match,,,,,,,,,Southern Steel Buildings Llc		1086 Gene Mcqueen Rd	Moultrie	GA	31788	229-890-0858		5 to 9	2,,,
Accessories,,,,,,,,,Southern Tire Mart	FRC	2583 Upper Big Springs Rd	Lagrange	GA	30241	706-812-1618		10 to 19	10,,,
No Company Match,,,,,,,,,Southway Crane & Rigging		225 Twin Hills Rd	North Augusta	SC	29860	803-279-5252		10 to 19	10,,,
,,,,,,,,,Southwire		540 West Industrial Court	Villa Rica	GA	30180	(770) 832-4242						Yes	No	No	Taylor Piatt	0037K,,,
,,,,,,,,,Southwire Co		401 Fertilla St	Carrollton	GA	30117	770-832-5229		100 to 249	100,,,
,,,,,,,,,Southwire Co		3 Southwire Dr	Carrollton	GA	30117	770-832-5904		250 to 499	100,,,
000+	4236	Household Appliances and Electrical and Electronic Goods Merchant Wholesalers	No	No	No	Taylor Piatt	0037K,,,,,,,,,Southwire Co Llc	FRC; CMAM	1 Southwire Dr	Carrollton	GA	30119	770-832-4242		1,,,
,,,,,,,,,Southwire Company***		372 Central High Rd	Carrollton	GA	30116	770-832-4708		50 to 99				Yes	No	No	Taylor Piatt	0037K,,,
,,,,,,,,,Southwire General Services		6619 Dixie St	CARROLLTON	GA	30116	(404) 450-8703						Yes	No	No	Taylor Piatt	0037K,,,
,,,,,,,,,Southwire North Campus		5152 Columbia Dr.	Carrollton	GA	30117	770-832-4242		250 to 499				Yes	No	No	Taylor Piatt	0037K,,,
,,,,,,,,,Spectra Metal Sales Inc	FRC; CMAM	6104 Boat Rock Blvd Sw	Atlanta	GA	30336	404-344-4305		250 to 499	100,,,
No Company Match,,,,,,,,,Spectrum Maintenance Svc		2123 Moon Station Dr Nw	Kennesaw	GA	30144	770-795-0365		10 to 19	5,,,
No Company Match,,,,,,,,,Spf North America	FRC	431 S Washington St # 1	Mondovi	WI	54755	8643743239		5 to 9	5,,,
,,,,,,,,,Splash	KAM	51 Maryland Ave	St. Paul	MN	55105	651-489-8211				4231	Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers	Yes	No	No	Robert Beerling	0021M,,,
,,,,,,,,,Ssab Enterprises Llc		2500 County Road B W	Roseville	MN	55113	651-631-9031		50 to 99	100,,,
Legislative,,,,,,,,,St Francis City Hall	MAM	23340 Cree St	St Francis	MN	55070	763-753-2630		1 to 4	10,,,
Legislative,,,,,,,,,St Louis County / A.P Cook	MAM	2503 Rice Lake Rd	Duluth	MN	55811	218-733-2870		5 to 9	20,,,
No Company Match,,,,,,,,,Interfor Us Inc		1830 Golden Isle E	Baxley	GA	31513	912-367-3671		100 to 249	1,,,
,,,,,,,,,Interfor-Thomaston Div		75 Ben Hill Rd	Thomaston	GA	30286	706-648-4900			1 - 1,,,
,,,,,,,,,IN-TERMINAL		PRIMARY_ADDRESS_1	Saint Paul	MN	55104	708-468-2271						Yes	No	No	Robert Beerling	0021M,,,
No Company Match,,,,,,,,,International Paper		238 Mays Bridge Rd Sw	Rome	GA	30165	706-234-6211		1 to 4	2,,,
and Paperboard Mills	Yes	No	No	Briana Miller	0021M,,,,,,,,,International Paper Co	FRC; CMAM	1300 Red Fox Rd	St Paul	MN	55112	651-636-3300		100 to 249	100,,,
and Paperboard Mills	Yes	No	No	Robert Beerling	0021M,,,,,,,,,International Paper Co	FRC	2425 Terminal Rd	St Paul	MN	55113	651-631-1693		100 to 249	100,,,
and Paperboard Mills	Yes	No	Yes	Peyton James	0058P,,,,,,,,,International Paper Co	FRC	2449 Stagecoach Rd	Oglethorpe	GA	31068	478-472-2527		250 to 499	100,,,
Paper,,,,,,,,,International Paper Co	FRC	350 Northco Dr	Minneapolis	MN	55432	763-574-1212		20 to 49	40,,,
and Paperboard Mills	Yes	No	No	Briana Miller	0021M,,,,,,,,,International Paper Co		1699 9th St	White Bear Lake	MN	55110	651-426-0345		100 to 249	100,,,
and Paperboard Mills	Yes	Yes	No	Joseph Paglia	258,,,,,,,,,International Paper Co	FRC	5099 N Royal Atlanta Dr	Tucker	GA	30084	770-938-4077		50 to 99	100,,,
and Paperboard Mills	Yes	No	No	Isaac Hennen	0002K,,,,,,,,,International Paper Co	FRC	3701 4th Ave E	Shakopee	MN	55379	952-445-4201		100 to 249	100,,,
and Paperboard Mills	Yes	No	No	Matthew Sprouse	256,,,,,,,,,International Paper Co	FRC	4847 Cargo Dr	Columbus	GA	31907	706-568-0050		100 to 249	100,,,
and Paperboard Mills	Yes	Yes	Yes	Heather Forbes	201,,,,,,,,,International Paper Co	FRC	6792 Marbut Rd	Lithonia	GA	30058	770-482-8821		100 to 249	100,,,
and Paperboard Mills	Yes	No	No	Richard Esdaile	201,,,,,,,,,International Paper Co	FRC	330 Hudson Rd	Griffin	GA	30224	770-228-4448		100 to 249	100,,,
and Paperboard Mills	Yes	Yes	Yes	Chris Falcone	201,,,,,,,,,International Paper Co	FRC	5115 Pinetree St	Forest Park	GA	30297	404-366-9118		100 to 249	100,,,
Paper,,,,,,,,,International Paper Co	FRC	3558 N 2nd St	Minneapolis	MN	55412	612-521-7000		20 to 49	40,,,
,,,,,,,,,INTERNATIONAL SERVICE CON		3780 SOUTHSIDE INDUSTRIAL	ATLANTA	GA	30354	678.740.2733						Yes	No	No	Ryan Burns	0037K,,,
,,,,,,,,,INTERNATIONAL WIRE GROUP		13230 N MAIN ST	TRENTON	GA	30752	864-708-3020				3344	Semiconductor and Other Electronic Component Manufacturing	Yes	No	Yes	Scarlet Perez	475,,,
,,,,,,,,,Interstate Assembly Systems	FRC	525 12th Ave Ne	West Fargo	ND	58078	701-281-8575		100 to 249	100,,,
No Company Match,,,,,,,,,Interstate Co		3902 12th Ave N	Fargo	ND	58102	701-282-8989			1,,,
No Company Match,,,,,,,,,Interstate Electric Motor Rpr		3450 S 42nd St	Grand Forks	ND	58201	701-281-8575		1 to 4	2,,,
,,,,,,,,,Interstate Power Systems	FRC	21568 Highview Ave	Lakeville	MN	55044	952-854-5511		100 to 249	100,,,
No Company Match,,,,,,,,,Intonu Llc	FRC	5225 Phillip Lee Dr Sw	Atlanta	GA	30336	404-691-6671		20 to 49	40,,,
No Company Match,,,,,,,,,Ireland Electric Co		130 Ireland Blvd	Augusta	GA	30906	706-855-9300		50 to 99	10,,,
Paper,,,,,,,,,Irving Tissue		1897 Allen Rd	Macon	GA	31216	478-784-7861		250 to 499	1,,,
,,,,,,,,,ISD 622		2245 MCKNIGHT ROAD	NORTH SAINT PAUL	MN	55109	651-748-7622						Yes	No	No	Christian Karalunas	0021M,,,
No Company Match,,,,,,,,,Isi	FRC	301 E Robinson Ave	Grovetown	GA	30813	706-650-9333		10 to 19	2,,,
,,,,,,,,,ISONOVA TECHNOLOGIES		1022 E HIGHTOWER TRL	SOCIAL CIRCLE	GA	30025	770-464-2338						Yes	No	Yes	Richard Esdaile	201,,,
,,,,,,,,,I-State Truck Center		21054 Chippendale CT	FARMINGTON	MN	55024	(952) 443-6350				4231	Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers	Yes	No	No	Timothy Litwin	754,,,
,,,,,,,,,Ivc Us Inc		101 Ivc Dr	Dalton	GA	30721	706-712-5105		250 to 499	100,,,
No Company Match,,,,,,,,,Ivey Mechanical Co Llc		2535 Royal Pl	Tucker	GA	30084	404-298-6040		20 to 49	10,,,
000+	5418	Advertising,,,,,,,,,IWCO	GAM; KAM; CMAM	7951 Powers Blvd	Chanhassen	MN	55317	952-474-0961		1,,,
No Company Match,,,,,,,,,J M Huber Corp		3160 Moon Station Rd Nw Building B	Kennesaw	GA	30144	770-423-1497		5 to 9	5,,,
,,,,,,,,,J&B Group	FRC; CMAM	13200 43rd St Ne	St Michael	MN	55376	763-497-3913		250 to 499	100,,,
,,,,,,,,,JABIL		3791 BROWNS MILL RD SE	ATLANTA	GA	30354	404-761-1949						Yes	No	No	Ryan Burns	0037K,,,
,,,,,,,,,Jack Links	CMAM	720 Perry Parkway	Perry	GA	31069	715-466-2234						Yes	No	No	Peyton James	0058P,,,
,,,,,,,,,Jack Stevens Welding	FRC	1156 Red Oak Flats Rd	Dahlonega	GA	30533	706-482-0190		1 to 4	1 - 1,,,
No Company Match,,,,,,,,,Jasper County Charter System	MAM	1411 College St	MONTICELLO	GA	31064	(770) 595-3953				9211	Executive,,,
No Company Match,,,,,,,,,Jat Oil Inc	FRC	600 W Main St	Chattanooga	TN	37402	423-629-6611		20 to 49	40,,,
,,,,,,,,,JBT CORPORATION	KAM	6430 SHILOH RD E	ALPHARETTA	GA	30005	770-535-9860						Yes	Yes	No	Joshua Bagley	0008M,,,
No Company Match,,,,,,,,,Jeff'S Welding	FRC	890 3rd Ave	Wanamingo	MN	55983	507-824-2869		5 to 9	1,,,
000+	3116	Animal Slaughtering and Processing	Yes	No	No	Jacob Carlson	0032K,,,,,,,,,Jennie-O Turkey Store	FRC	1530 30th St Sw	Willmar	MN	56201	320-231-7148		1,,,
,,,,,,,,,Jennie-O Turkey Store		1535 30th St Sw	Willmar	MN	56201	320-231-7205		500 to 999	100,,,
,,,,,,,,,Jennie-O Turkey Store		123 5th Ave Se	Melrose	MN	56352	320-256-4245		500 to 999		4452	Specialty Food Retailers	Yes	No	No	Caroline Horvath	0032K,,,
No Company Match,,,,,,,,,Jennie-O Turkey Store		21 3rd St	Swanville	MN	56382	320-547-3063		10 to 19	40,,,
,,,,,,,,,Jennie-O Turkey Store		1116 4th Ave Nw	Faribault	MN	55021	507-334-3192		500 to 999	100,,,
,,,,,,,,,Jennie-O Turkey Store		901 N 24th St	Montevideo	MN	56265	320-269-9871		250 to 499	100,,,
000+	3116	Animal Slaughtering and Processing	Yes	No	No	Jacob Carlson	0032K,,,,,,,,,Jennie-O Turkey Store Inc	GAM; FRC	2505 Willmar Ave Sw	Willmar	MN	56201	320-235-2622		1,,,
No Company Match,,,,,,,,,JENSENS CONCRETE LINE PUM		1092 W ATLANTA ST SE	MARIETTA	GA	30060	770-644-0066		20 to 49	20,,,
,,,,,,,,,JH FOSTER		10923 40TH AVE	CHIPPEWA FALLS	WI	54729							Yes	No	No	Tyler Lee	0016K,,,
No Company Match,,,,,,,,,Jim Ellis Alfa Romeo Atlanta	KAM; CMAM	5855 Peachtree Industrial Blvd	Atlanta	GA	30341	770-454-3333		10 to 19	20,,,
,,,,,,,,,Jim Ellis Volkswagen	KAM	5901 Peachtree Industrial Blvd	Chamblee	GA	30341	678-530-0214		20 to 49		4411	Automobile Dealers	Yes	Yes	No	Joshua Bagley	0008M,,,
No Company Match,,,,,,,,,Jim Ellis Vw Of Chamblee		5901 Peachtree Industrial Blvd	ATLANTA	GA	30341	770-458-6811		20 to 49	10,,,
,,,,,,,,,JLL		1100 ABERNATHY RD STE 500	ATLANTA	GA	30328							Yes	No	No	Daniel Gardiner	71,,,
,,,,,,,,,JLL ALF01		5555 windward pkwy	Alpharetta	GA	30004	(770) 880-9957						Yes	No	No	Andrew Bezek	0008M,,,
,,,,,,,,,JLL/ Wells Fargo		171 17th Street	ATLANTA	GA	30363	(470) 432-6673						Yes	No	No	Franco Palazzo	71,,,
,,,,,,,,,JLL/Wells Fargo		1100 Abernathy Rd Building 500	ATLANTA	GA	30328	(470) 755-3162						No	No	No	Daniel Gardiner	71,,,
,,,,,,,,,JLL/Wells Fargo		3585 Atlanta Ave	ATLANTA	GA	30354	(561) 951-1092						Yes	No	No	Ryan Burns	0037K,,,
,,,,,,,,,John Deere	FRC	700 Horizon South Pkwy	Grovetown	GA	30813	706-854-4507		500 to 999	100,,,
,,,,,,,,,John Deere Seeding Group	FRC	1725 7th St Se	Valley City	ND	58072	701-845-1195		250 to 499	100,,,
,,,,,,,,,JOHN HENRY FOSTER		830 BROOK ST UNIT C	BRAINERD	MN	56401	651-994-7327						Yes	No	No	Caroline Horvath	0032K,,,
,,,,,,,,,JOHN HENRY FOSTER		66569 362ND ST	WATKINS	MN	55389	651-994-7327						Yes	No	No	Jacob Carlson	0032K,,,
,,,,,,,,,JOHN HENRY FOSTER		551 S ST	WABASSO	MN	56293	651-994-7327						Yes	No	No	Jacob Carlson	0006K,,,
,,,,,,,,,JOHN HENRY FOSTER		19888 CO RD 2	MORGAN	MN	56266							No	No	No	Jacob Carlson	0006K,,,
,,,,,,,,,John Henry Foster	FRC	3103 Mike Collins Dr	St Paul	MN	55121	651-452-8452		50 to 99	100,,,
,,,,,,,,,JOHN HENRY FOSTER CANNON		29565 Hagen Ave	Cannon Falls	MN	55009	651-452-8452						Yes	No	No	Timothy Litwin	754,,,
No Company Match,,,,,,,,,Johnson Controls Atlanta	FRC	1350 Northmeadow Pkwy # 100	Roswell	GA	30076	770-663-0663		50 to 99	40,,,
,,,,,,,,,Josh Roberts Trucking Inc		6600 New Calhoun Hwy NE	Rome	GA	30161	706-235-7795						Yes	No	No	Mason Ramsey	71,,,
No Company Match,,,,,,,,,JOY GLOBAL		4100 P AND H RD	VIRGINIA	MN	55792					4238	Machinery,,,
,,,,,,,,,JRB ATTACHMENTS		8822 APISON PIKE	OOLTEWAH	TN	37363	423-822-5587						Yes	No	No	Scarlet Perez	475,,,
,,,,,,,,,JTEKT NORTH AMERICA		2525 TORRINGTON DR	CAIRO	GA	39828	229-377-6650						No	No	Yes	Tim Long	438,,,
,,,,,,,,,KANE TRANSPORT		1327 HIGHWAY 45	SCANLON	MN	55720	651-437-2716						Yes	No	No	Bradley Beranek	0045M,,,
No Company Match,,,,,,,,,Kane Transport Inc	KAM	11685 Clark Rd	Inver Grove Hts	MN	55077	651-437-2716		5 to 9	5,,,
,,,,,,,,,Kane Transport Inc		40925 403rd Ave	Sauk Centre	MN	56378	320-352-2762		50 to 99	100,,,
No Company Match,,,,,,,,,Kannegiesser Truck Sales		23774 380th Ave	Hancock	MN	56244	320-795-2827		1 to 4	10,,,
No Company Match,,,,,,,,,Kawneer Co Inc	FRC	850 Aquila Way	Austell	GA	30168	770-745-1840		20 to 49	40,,,
Supercenters,,,,,,,,,Kemira Chemicals	FRC; KAM	2360 Doug Barnard Pkwy	Augusta	GA	30906	706-790-9396		20 to 49	40,,,
,,,,,,,,,Ken Garner Mfg Co	FRC	1201 E 28th St	Chattanooga	TN	37404	423-698-6200		50 to 99	100,,,
,,,,,,,,,KENNESAW STATE UNIVERSITY		834 POLYTECHNIC LANE	MARIETTA	GA	30060	470-578-6165						Yes	No	No	Kaitlin Cox	71,,,
,,,,,,,,,KENNESAW STATE UNIVERSITY		105 MARIETTA DR NW	KENNESAW	GA	30144	470-578-6165						Yes	No	No	Kaitlin Cox	71,,,
,,,,,,,,,Kentucky Tennessee Clay		Machine Shop	Langley	SC	29834	803-593-2511						Yes	No	No	Jason Lynn	219,,,
Transmission and Distribution	Yes	No	No	Timothy Litwin	754,,,,,,,,,Kenyon Utilities Dept		709 2nd St	Kenyon	MN	55946	507-789-6415		1 to 4	10,,,
No Company Match,,,,,,,,,Key Contracting Inc		245 7th Ave Ne	West Fargo	ND	58078	701-238-8192		50 to 99	20,,,
Structure,,,,,,,,,Keystone Concrete Foundations	FRC	575 James Rd	Alpharetta	GA	30004	678-990-8070		10 to 19	5,,,
No Company Match,,,,,,,,,Kik Custom Products	FRC	75 Pine View Dr	Hampton	GA	30228	770-946-4533		10 to 19	20,,,
No Company Match,,,,,,,,,Kinetico	KAM	3980 Lakefield Ct	Suwanee	GA	30024	678-475-0799		20 to 49	40,,,
No Company Match,,,,,,,,,Kloeckner Metals		3775 Namasco Dr	Suwanee	GA	30024	770-271-0755		20 to 49	40,,,
,,,,,,,,,Kloeckner Metals	FRC	2005 Grassland Pkwy	Alpharetta	GA	30004	770-751-1172		100 to 249	100,,,
,,,,,,,,,Knife River Corp		4787 Shadowwood Dr Ne	Sauk Rapids	MN	56379	320-251-9472		500 to 999	100,,,
,,,,,,,,,Koch Agronomic Services		2883 Miller Rd	DECATUR	GA	30030	(404) 909-0784				5511	Management of Companies and Enterprises	Yes	No	No	Heather Forbes	201,,,
,,,,,,,,,Koch Foods Inc		950 Industrial Blvd	Gainesville	GA	30501	770-536-8818		500 to 999	100,,,
,,,,,,,,,Koch Foods Inc		1750 Rome Hwy	Rockmart	GA	30153	770-684-5535		50 to 99	100,,,
,,,,,,,,,Koch Foods Inc		221 Meadow Dr	Cumming	GA	30040	770-844-8416		500 to 999	100,,,
No Company Match,,,,,,,,,Koch Foods Inc	FRC	14075 Ga Highway 116	Pine Mtn Valley	GA	31823	706-562-2372		500 to 999	40,,,
No Company Match,,,,,,,,,Koch Foods Truck Shop	FRC	18835 Highway 11	Wildwood	GA	30757	706-657-4260		10 to 19	20,,,
